Country,StockCode,ProductName,Growth_Rate
"United Kingdom",22687,adjustment,-0.9992
"United Kingdom",21479,"WHITE SKULL HOT WATER BOTTLE",-0.998670212765957
"United Kingdom",84828,"JUNGLE POPSICLES ICE LOLLY MOULDS",-0.997858672376874
"United Kingdom",23084,Amazon,-0.997093023255814
"United Kingdom",22444,"GROW YOUR OWN PLANT IN A CAN",-0.995652173913044
"United Kingdom",84877D,found,-0.993150684931507
"United Kingdom",21535,"RED RETROSPOT SMALL MILK JUG",-0.993055555555556
"United Kingdom",35004C,"SET OF 3 COLOURED  FLYING DUCKS",-0.99
"United Kingdom",84674,"FLYING PIG WATERING CAN",-0.98989898989899
"United Kingdom",22355,test,-0.989583333333333
"United Kingdom",22176,amazon,-0.989247311827957
"United Kingdom",22302,"COFFEE MUG PEARS  DESIGN",-0.988924050632911
"United Kingdom",23557,"LANDMARK FRAME BAKER STREET",-0.987341772151899
"United Kingdom",84531B,returned,-0.987261146496815
"United Kingdom",22513,"DOORSTOP FOOTBALL DESIGN",-0.986842105263158
"United Kingdom",22848,check,-0.986577181208054
Japan,22567,"20 DOLLY PEGS RETROSPOT",-0.984640929846409
"United Kingdom",70007,"HI TEC ALPINE HAND WARMER",-0.984326018808777
"United Kingdom",23113,"PANTRY CHOPPING BOARD",-0.983870967741935
"United Kingdom",22897,"OVEN MITT APPLES DESIGN",-0.982683982683983
"United Kingdom",17136A,check,-0.982352941176471
"United Kingdom",84507C,adjustment,-0.979487179487179
"United Kingdom",21891,"TRADITIONAL WOODEN SKIPPING ROPE",-0.979166666666667
"United Kingdom",21875,"KINGS CHOICE MUG",-0.977927063339731
"United Kingdom",82600,check,-0.976190476190476
"United Kingdom",22925,check,-0.973684210526316
"United Kingdom",23150,"IVORY SWEETHEART SOAP DISH",-0.972222222222222
"United Kingdom",22548,adjustment,-0.972222222222222
"United Kingdom",21107,"CREAM SLICE FLANNEL PINK SPOT",-0.972027972027972
France,84991,"60 TEATIME FAIRY CAKE CASES",-0.971757925072046
"United Kingdom",23390,"DOLLY GIRL MINI BACKPACK",-0.971223021582734
"United Kingdom",37413,"ICON MUG REVOLUTIONARY",-0.964798850574713
"United Kingdom",18098C,"PORCELAIN BUTTERFLY OIL BURNER",-0.964601769911504
"United Kingdom",35819B,check,-0.962577962577963
"United Kingdom",22221,"CAKE STAND LOVEBIRD 2 TIER PINK",-0.9625
"United Kingdom",85141,"JARDIN ETCHED GLASS FRUITBOWL",-0.95959595959596
"United Kingdom",23320,"GIANT 50'S CHRISTMAS CRACKER",-0.959459459459459
"United Kingdom",23235,"STORAGE TIN VINTAGE LEAF",-0.958333333333333
"United Kingdom",20767,"BLUE PAISLEY JOURNAL",-0.955056179775281
"United Kingdom",23322,"LARGE WHITE HEART OF WICKER",-0.954545454545455
"United Kingdom",22121,"had been put aside",-0.951219512195122
"United Kingdom",21829,adjustment,-0.95
"United Kingdom",23568,"EGG CUP HENRIETTA HEN CREAM",-0.944444444444444
"United Kingdom",22307,"GOLD MUG BONE CHINA TREE OF LIFE",-0.944444444444444
"United Kingdom",84375,"SET OF 20 KIDS COOKIE CUTTERS",-0.942857142857143
"United Kingdom",16016,"LARGE CHINESE STYLE SCISSOR",-0.941176470588235
"United Kingdom",23224,"CHERUB HEART DECORATION GOLD",-0.940366972477064
"United Kingdom",85019B,check,-0.938524590163934
"United Kingdom",22605,"WOODEN CROQUET GARDEN SET",-0.9375
Australia,22620,"4 TRADITIONAL SPINNING TOPS",-0.936936936936937
"United Kingdom",23256,"CHILDRENS CUTLERY SPACEBOY",-0.935483870967742
"United Kingdom",23343,"JUMBO BAG VINTAGE CHRISTMAS",-0.935483870967742
"United Kingdom",21792,"CLASSIC FRENCH STYLE BASKET GREEN",-0.93191650443435
"United Kingdom",21631,"HIPPY CHIC DECORATIVE PARASOL",-0.93127147766323
"United Kingdom",21823,"amazon adjust",-0.931034482758621
"United Kingdom",23194,"GYMKHANA TREASURE BOOK BOX",-0.93
"United Kingdom",85017C,adjustment,-0.923076923076923
"United Kingdom",22171,?,-0.922319474835886
"United Kingdom",21578,found,-0.92
EIRE,82486,"3 DRAWER ANTIQUE WHITE WOOD CABINET",-0.919504643962848
"United Kingdom",85019C,"CURIOUS  IMAGES NOTEBOOK SET",-0.918367346938776
"United Kingdom",23084,"allocate stock for dotcom orders ta",-0.916666666666667
"United Kingdom",21519,"GIN & TONIC DIET GREETING CARD",-0.909090909090909
"United Kingdom",20665,dotcom,-0.904545454545455
"United Kingdom",85129D,"BEADED CRYSTAL HEART PINK SMALL",-0.903306565895135
"United Kingdom",84050,check,-0.902777777777778
Germany,22221,"CAKE STAND LOVEBIRD 2 TIER PINK",-0.902298850574713
"United Kingdom",23173,"REGENCY TEAPOT ROSES",-0.9
"United Kingdom",23118,"dotcom adjust",-0.895833333333333
"United Kingdom",22689,"DOORMAT MERRY CHRISTMAS RED",-0.894736842105263
"United Kingdom",21781,"MA CAMPAGNE CUTLERY BOX",-0.888888888888889
"United Kingdom",23092,"LARGE ANTIQUE WHITE PHOTO FRAME",-0.888888888888889
"United Kingdom",23393,"HOME SWEET HOME CUSHION COVER",-0.884615384615385
"United Kingdom",85135B,check,-0.884615384615385
"United Kingdom",72351B,"SET/6 PINK  BUTTERFLY T-LIGHTS",-0.884615384615385
"United Kingdom",22745,"POPPY'S PLAYHOUSE BEDROOM",-0.881818181818182
"United Kingdom",85124C,"GREEN JUICY FRUIT PHOTO FRAME",-0.88135593220339
"United Kingdom",85084,"HOLLY TOP CHRISTMAS STOCKING",-0.88
"United Kingdom",21700,check,-0.87962962962963
"United Kingdom",23015,"CORDIAL JUG",-0.875
"United Kingdom",17084P,"DRAGONS BLOOD INCENSE",-0.874145006839945
"United Kingdom",23457,"LARGE PARLOUR PICTURE FRAME",-0.872549019607843
"United Kingdom",22792,"FLUTED ANTIQUE CANDLE HOLDER",-0.872093023255814
Finland,20979,"36 PENCILS TUBE RED RETROSPOT",-0.871956009426551
"United Kingdom",22944,"CHRISTMAS METAL POSTCARD WITH BELLS",-0.87125
"United Kingdom",10080,check,-0.870588235294118
"Hong Kong",22620,"4 TRADITIONAL SPINNING TOPS",-0.869759143621766
"United Kingdom",23556,"LANDMARK FRAME COVENT GARDEN",-0.86864406779661
"United Kingdom",21539,check,-0.862068965517241
"United Kingdom",35968,check,-0.857142857142857
"United Kingdom",17129F,"BLUE GLASS GEMS IN BAG",-0.854347826086956
"United Kingdom",21811,"HANGING HEART WITH BELL",-0.848484848484849
"United Kingdom",21794,adjustment,-0.848484848484849
Germany,23552,"BICYCLE PUNCTURE REPAIR KIT",-0.844660194174757
Germany,47599B,"BLUE PARTY BAGS",-0.841880341880342
"United Kingdom",21644,check,-0.840236686390533
Germany,22899,"CHILDREN'S APRON DOLLY GIRL",-0.838565022421525
"United Kingdom",22585,"PACK OF 6 BIRDY GIFT TAGS",-0.833333333333333
"United Kingdom",23229,"VINTAGE DONKEY TAIL GAME",-0.833333333333333
"United Kingdom",23236,"STORAGE TIN VINTAGE DOILY",-0.833333333333333
"United Kingdom",85185B,"PINK HORSE SOCK PUPPET",-0.833333333333333
"United Kingdom",22270,"HAPPY EASTER HANGING DECORATION",-0.831632653061224
"United Kingdom",85169B,"BLACK LOVE BIRD CANDLE",-0.829044117647059
"United Kingdom",23521,"CAT AND BIRD WALL ART",-0.823736780258519
"United Kingdom",22759,check,-0.822916666666667
"United Kingdom",21915,"John Lewis",-0.822695035460993
Germany,22564,"ALPHABET STENCIL CRAFT",-0.821428571428571
"United Kingdom",23075,"DOUBLE CERAMIC PARLOUR HOOK",-0.819628647214854
"United Kingdom",22117,check,-0.816
"United Kingdom",47503H,found,-0.813031161473088
"United Kingdom",20711,"JUMBO BAG TOYS",-0.811209439528024
"United Kingdom",84817,"DANISH ROSE DECORATIVE PLATE",-0.80188679245283
"United Kingdom",21349,check,-0.8
"United Kingdom",90143,"SILVER BRACELET W PASTEL FLOWER",-0.8
"United Kingdom",85160B,"BLACK BIRD GARDEN DESIGN MUG",-0.797546012269939
"United Kingdom",20704,"MR ROBOT SOFT TOY",-0.791666666666667
EIRE,22839,"3 TIER CAKE TIN GREEN AND CREAM",-0.787389643848974
"United Kingdom",23103,"JINGLE BELL HEART DECORATION",-0.786516853932584
"United Kingdom",21098,"had been put aside",-0.785714285714286
"United Kingdom",22494,"EMERGENCY FIRST AID TIN",-0.782142857142857
"United Kingdom",84462,"3 PINK HEN+CHICKS IN BASKET",-0.778523489932886
"United Kingdom",23127,"DOLLCRAFT GIRL NICOLE",-0.777777777777778
"United Kingdom",22837,Found,-0.775862068965517
"United Kingdom",84968C,"SET OF 16 VINTAGE PISTACHIO CUTLERY",-0.772727272727273
France,20675,"BLUE POLKADOT BOWL",-0.769230769230769
"United Kingdom",82494L,"WOODEN FRAME ANTIQUE WHITE",-0.764595808383234
"United Kingdom",22952,"72 CAKE CASES VINTAGE CHRISTMAS",-0.756345177664975
"United Kingdom",22062,"CERAMIC BOWL WITH LOVE HEART DESIGN",-0.755555555555556
"United Kingdom",22965,"3 TRADITIONAL COOKIE CUTTERS  SET",-0.75
"United Kingdom",21878,"PACK OF 6 SANDCASTLE FLAGS ASSORTED",-0.75
"United Kingdom",22795,"SWEETHEART RECIPE BOOK STAND",-0.75
"United Kingdom",22525,"CHILDRENS GARDEN GLOVES PINK",-0.744565217391304
"United Kingdom",23511,"EMBROIDERED RIBBON REEL EMILY",-0.743951612903226
"United Kingdom",23702,"High Resolution Image",-0.74
"United Kingdom",23240,"SET OF 4 KNICK KNACK TINS DOILEY",-0.739583333333333
"United Kingdom",23193,"BUFFALO BILL TREASURE BOOK BOX",-0.736666666666667
"United Kingdom",22740,adjustment,-0.735119047619048
France,22356,"CHARLOTTE BAG PINK POLKADOT",-0.734299516908213
France,21326,"AGED GLASS SILVER T-LIGHT HOLDER",-0.733590733590734
"United Kingdom",22128,"PARTY CONES CANDY ASSORTED",-0.733333333333333
"United Kingdom",22734,FOUND,-0.733333333333333
"United Kingdom",22139,amazon,-0.732142857142857
"United Kingdom",79337,"BLUE FLOCK GLASS CANDLEHOLDER",-0.727777777777778
"United Kingdom",21289,"LARGE STRIPES CHOCOLATE GIFT BAG",-0.724358974358974
"United Kingdom",90179C,"BLACK FINE BEAD NECKLACE W TASSEL",-0.716386554621849
"United Kingdom",22223,"CAKE PLATE LOVEBIRD PINK",-0.715025906735751
"United Kingdom",20984,found,-0.711538461538462
Germany,23395,"BELLE JARDINIERE CUSHION COVER",-0.706214689265537
Germany,22236,"CAKE STAND 3 TIER MAGIC GARDEN",-0.705688556995388
"United Kingdom",23133,"LARGE IVORY HEART WALL ORGANISER",-0.7
"United Kingdom",22174,"PHOTO CUBE",-0.7
"United Kingdom",23178,"JAM CLOCK MAGNET",-0.696969696969697
"United Kingdom",22111,"SCOTTIE DOG HOT WATER BOTTLE",-0.694852941176471
Norway,22371,"AIRLINE BAG VINTAGE TOKYO 78",-0.691743119266055
"United Kingdom",84804B,"BLUE DELPHINIUM ARTIFICIAL FLOWER",-0.690821256038647
Netherlands,22956,"36 FOIL HEART CAKE CASES",-0.685081365443556
"United Kingdom",23024,"LARGE BONNE JAM JAR  T-LIGHT HOLDER",-0.684210526315789
"United Kingdom",82616B,"FRAPPUCINO SCARF KNITTING KIT",-0.682352941176471
"United Kingdom",21715,"GIRLS VINTAGE TIN SEASIDE BUCKET",-0.681713672593501
"United Kingdom",22665,"RECIPE BOX BLUE SKETCHBOOK DESIGN",-0.67550505050505
"United Kingdom",21677,"HEARTS  STICKERS",-0.669565217391304
"United Kingdom",21739,"COSY SLIPPER SHOES SMALL GREEN",-0.667020373514431
"United Kingdom",21110,"LARGE CAKE TOWEL PINK SPOTS",-0.666666666666667
"United Kingdom",22902,"TOTE BAG I LOVE LONDON",-0.666666666666667
"United Kingdom",22066,"LOVE HEART TRINKET POT",-0.657142857142857
France,84997C,"CHILDRENS CUTLERY POLKADOT BLUE",-0.644248937175248
"United Kingdom",37468,"HARDMAN MUG 3 ASSORTED",-0.641791044776119
"United Kingdom",85099F,"JUMBO BAG STRAWBERRY",-0.639667158205182
"United Kingdom",21204,"DAISIES  HONEYCOMB GARLAND",-0.631578947368421
"United Kingdom",90200B,"BLACK SWEETHEART BRACELET",-0.630573248407643
Switzerland,22915,"ASSORTED BOTTLE TOP  MAGNETS",-0.628992628992629
"United Kingdom",44235,"ASSORTED COLOURED CIRCLE MOBILE",-0.626373626373626
"United Kingdom",22501,Found,-0.625
Italy,22138,"BAKING SET 9 PIECE RETROSPOT",-0.617529880478088
"United Kingdom",21907,"I'M ON HOLIDAY METAL SIGN",-0.616962305986696
Germany,84991,"60 TEATIME FAIRY CAKE CASES",-0.615658362989324
"United Kingdom",22384,"LUNCH BAG PINK POLKADOT",-0.611486486486487
"United Kingdom",21172,"PARTY METAL SIGN",-0.6075
Netherlands,22150,"3 STRIPEY MICE FELTCRAFT",-0.606346058502727
France,20975,"12 PENCILS SMALL TUBE RED RETROSPOT",-0.605839416058394
France,23354,"6 GIFT TAGS 50'S CHRISTMAS",-0.605
"United Kingdom",22173,"METAL 4 HOOK HANGER FRENCH CHATEAU",-0.60462962962963
"United Kingdom",23236,"DOILEY BISCUIT TIN",-0.604213445131177
"United Kingdom",22776,"SWEETHEART CAKESTAND 3 TIER",-0.6
"United Kingdom",23252,"VINTAGE RED ENAMEL TRIM JUG",-0.6
"United Kingdom",20780,"BLACK EAR MUFF HEADPHONES",-0.6
"United Kingdom",20725,"LUNCH BAG RED RETROSPOT",-0.595528455284553
"United Kingdom",47504K,"ENGLISH ROSE GARDEN SECATEURS",-0.589033802090826
"United Kingdom",22296,"HEART IVORY TRELLIS LARGE",-0.586206896551724
"United Kingdom",20733,"GOLD MINI TAPE MEASURE",-0.581349206349206
France,21240,"BLUE POLKADOT CUP",-0.581005586592179
"United Kingdom",37495,"FAIRY CAKE BIRTHDAY CANDLE SET",-0.58
France,22915,"ASSORTED BOTTLE TOP  MAGNETS",-0.568364611260054
"United Kingdom",85230B,"CINNAMON SCENTED VOTIVE CANDLE",-0.564356435643564
"United Kingdom",22778,"GLASS CLOCHE SMALL",-0.557471264367816
"United Kingdom",20668,"DISCO BALL CHRISTMAS DECORATION",-0.55
Germany,22467,"GUMBALL COAT RACK",-0.545977011494253
"United Kingdom",22157,"ANGEL DECORATION WITH LACE PADDED",-0.539540328746177
"United Kingdom",23697,"A PRETTY THANK YOU CARD",-0.537979664766443
"United Kingdom",23280,"FOLDING BUTTERFLY MIRROR HOT PINK",-0.535714285714286
Switzerland,22725,"ALARM CLOCK BAKELIKE CHOCOLATE",-0.533112582781457
"United Kingdom",37482P,"CUBIC MUG PINK POLKADOT",-0.53125
Spain,23247,"BISCUIT TIN 50'S CHRISTMAS",-0.530120481927711
Germany,22937,"BAKING MOULD CHOCOLATE CUPCAKES",-0.53
"United Kingdom",47503A,check,-0.526171700127415
France,22630,"DOLLY GIRL LUNCH BOX",-0.523388429752066
"United Kingdom",23332,"IVORY WICKER HEART LARGE",-0.522727272727273
EIRE,21270,"ANTIQUE CREAM CUTLERY CUPBOARD",-0.522147651006711
"United Kingdom",20615,"BLUE POLKADOT PASSPORT COVER",-0.513513513513513
"United Kingdom",21379,"CAMPHOR WOOD PORTOBELLO MUSHROOM",-0.509824561403509
"United Kingdom",22088,"PAPER BUNTING COLOURED LACE",-0.505357142857143
"United Kingdom",23128,"FELTCRAFT BOY JEAN-PAUL KIT",-0.502604166666667
"United Kingdom",23525,"WALL ART BUFFALO BILL",-0.5
"United Kingdom",22962,"JAM JAR WITH PINK LID",-0.5
Sweden,POST,POSTAGE,-0.5
