Country,StockCode,Description,Total_Quantity
Australia,22492,"MINI PAINT SET VINTAGE",2952
Australia,23084,"RABBIT NIGHT LIGHT",1884
Australia,21915,"RED  HARMONICA IN BOX",1704
Australia,21731,"RED TOADSTOOL LED NIGHT LIGHT",1344
Australia,22969,"HOMEMADE JAM SCENTED CANDLES",1080
Australia,22630,"DOLLY GIRL LUNCH BOX",1024
Australia,22629,"SPACEBOY LUNCH BOX",960
Australia,22544,"MINI JIGSAW SPACEBOY",720
Australia,21914,"BLUE HARMONICA IN BOX",720
Australia,22620,"4 TRADITIONAL SPINNING TOPS",700
Australia,22722,"SET OF 6 SPICE TINS PANTRY DESIGN",600
Australia,15036,"ASSORTED COLOURS SILK FAN",600
Australia,22631,"CIRCUS PARADE LUNCH BOX",576
Australia,21902,"KEY FOB , FRONT  DOOR ",576
Australia,21900,"KEY FOB , SHED",576
Australia,21899,"KEY FOB , GARAGE DESIGN",576
Australia,22662,"LUNCH BAG DOLLY GIRL DESIGN",530
Australia,22619,"SET OF 6 SOLDIER SKITTLES",496
Australia,22539,"MINI JIGSAW DOLLY GIRL",480
Australia,22720,"SET OF 3 CAKE TINS PANTRY DESIGN",464
Australia,22382,"LUNCH BAG SPACEBOY DESIGN",450
Australia,21086,"SET/6 RED SPOTTY PAPER CUPS",444
Australia,23234,"BISCUIT TIN VINTAGE CHRISTMAS",432
Australia,22615,"PACK OF 12 CIRCUS PARADE TISSUES",432
Australia,21984,"PACK OF 12 PINK PAISLEY TISSUES",432
Australia,21981,"PACK OF 12 WOODLAND TISSUES",432
Australia,21891,"TRADITIONAL WOODEN SKIPPING ROPE",432
Australia,23295,"SET OF 12 MINI LOAF BAKING CASES",426
Australia,23293,"SET OF 12 FAIRY CAKE BAKING CASES",426
Australia,22045,"SPACEBOY GIFT WRAP",425
Australia,23296,"SET OF 6 TEA TIME BAKING CASES",418
Australia,23294,"SET OF 6 SNACK LOAF BAKING CASES",418
Australia,23231,"WRAP DOILEY DESIGN",400
Australia,23230,"WRAP ALPHABET DESIGN",400
Australia,22704,"WRAP RED APPLES",400
Australia,16161P,"WRAP ENGLISH ROSE",400
Australia,22962,"JAM JAR WITH PINK LID",396
Australia,21094,"SET/6 RED SPOTTY PAPER PLATES",396
Australia,21210,"SET OF 72 RETROSPOT PAPER  DOILIES",385
Australia,20979,"36 PENCILS TUBE RED RETROSPOT",385
Australia,22751,"FELTCRAFT PRINCESS OLIVIA DOLL",384
Australia,22326,"ROUND SNACK BOXES SET OF4 WOODLAND",384
Australia,21080,"SET/20 RED RETROSPOT PAPER NAPKINS",384
Australia,20973,"12 PENCIL SMALL TUBE WOODLAND",384
Australia,22712,"CARD DOLLY GIRL",372
Australia,23194,"GYMKHANA TREASURE BOOK BOX",360
Australia,23193,"BUFFALO BILL TREASURE BOOK BOX",360
Australia,23177,"TREASURE ISLAND BOOK BOX",360
Australia,23176,"ABC TREASURE BOOK BOX",360
Australia,21212,"PACK OF 72 RETROSPOT CAKE CASES",360
Australia,22940,"FELTCRAFT CHRISTMAS FAIRY",336
Australia,23206,"LUNCH BAG APPLE DESIGN",321
Australia,22333,"RETROSPOT PARTY BAG + STICKER SET",320
Australia,22992,"REVOLVER WOODEN RULER",312
Australia,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",312
Australia,23209,"LUNCH BAG DOILEY PATTERN",311
Australia,23207,"LUNCH BAG ALPHABET DESIGN",301
Australia,23233,"WRAP POPPIES  DESIGN",300
Australia,22993,"SET OF 4 PANTRY JELLY MOULDS",300
Australia,22555,"PLASTERS IN TIN STRONGMAN",300
Australia,22029,"SPACEBOY BIRTHDAY CARD",300
Australia,23240,"SET OF 4 KNICK KNACK TINS DOILEY",295
Australia,23245,"SET OF 3 REGENCY CAKE TINS",293
Australia,23241,"TREASURE TIN GYMKHANA DESIGN",289
Australia,21918,"SET 12 KIDS COLOUR  CHALK STICKS",289
Australia,23326,"HANGING MINI COLOURED BOTTLES",288
Australia,23121,"PACK OF 6 COCKTAIL PARASOL STRAWS",288
Australia,23120,"PACK OF 6 SMALL FRUIT STRAWS",288
Australia,22991,"GIRAFFE WOODEN RULER",288
Australia,22950,"36 DOILIES VINTAGE CHRISTMAS",288
Australia,22909,"SET OF 20 VINTAGE CHRISTMAS NAPKINS",288
Australia,22651,"GENTLEMAN SHIRT REPAIR KIT",288
Australia,22556,"PLASTERS IN TIN CIRCUS PARADE",288
Australia,22551,"PLASTERS IN TIN SPACEBOY",288
Australia,21121,"SET/10 RED POLKADOT PARTY CANDLES",288
Australia,20725,"LUNCH BAG RED RETROSPOT",281
Australia,23328,"SET 6 SCHOOL MILK BOTTLES IN CRATE",276
Australia,22960,"JAM MAKING SET WITH JARS",276
Australia,20726,"LUNCH BAG WOODLAND",270
Australia,22139,"RETROSPOT TEA SET CERAMIC 11 PC",267
Australia,23297,"SET 40 HEART SHAPE PETIT FOUR CASES",266
Australia,47566,"PARTY BUNTING",265
Australia,22546,"MINI JIGSAW PURDEY",265
Australia,21976,"PACK OF 60 MUSHROOM CAKE CASES",264
Australia,22331,"WOODLAND PARTY BAG + STICKER SET",256
Australia,22963,"JAM JAR WITH GREEN LID",252
Australia,20984,"12 PENCILS TALL TUBE POSY",252
Australia,23510,"MINI PLAYING CARDS GYMKHANA",250
Australia,23507,"MINI PLAYING CARDS BUFFALO BILL",250
Australia,23243,"SET OF TEA COFFEE SUGAR TINS PANTRY",249
Australia,23307,"SET OF 60 PANTRY DESIGN CAKE CASES",241
Australia,23242,"TREASURE TIN BUFFALO BILL",241
Australia,23165,"LARGE CERAMIC TOP STORAGE JAR",241
Australia,22545,"MINI JIGSAW BUNNIES",241
Australia,23340,"VINTAGE CHRISTMAS CAKE FRILL",240
Australia,23308,"SET OF 60 VINTAGE LEAF CAKE CASES",240
Australia,22980,"PANTRY SCRUBBING BRUSH",240
Australia,22952,"60 CAKE CASES VINTAGE CHRISTMAS",240
